KG1 lines of sight, obtained from drawing K09000100 Issue E dated 16/01/99 (20°-320°) -resampling using cubic interpolation A.Boboc 27/01/2014
Temperature R1 R2 R3 R4 R5 R6 R7 R8 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 A1 A2 A3 A4 A5 A6 A7 A8 
deg.C m m m m m m m m m m m m m m m m rad rad rad rad rad rad rad rad 
96 1.8873 2.7 3.0372 3.7334 3 3 3 3 0 0 0 0 -0.60892 -0.37351 -0.1468 0.18701 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
97 1.8874 2.7 3.0373 3.7335 3 3 3 3 0 0 0 0 -0.60894 -0.37352 -0.1468 0.18702 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
98 1.8874 2.7001 3.0373 3.7335 3 3 3 3 0 0 0 0 -0.60897 -0.37353 -0.1468 0.18703 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
99 1.8874 2.7001 3.0373 3.7336 3 3 3 3 0 0 0 0 -0.60899 -0.37354 -0.1468 0.18705 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
100 1.8874 2.7001 3.0373 3.7336 3 3 3 3 0 0 0 0 -0.60901 -0.37355 -0.1468 0.18706 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
101 1.8875 2.7001 3.0374 3.7337 3 3 3 3 0 0 0 0 -0.60903 -0.37356 -0.1468 0.18707 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
102 1.8875 2.7002 3.0374 3.7337 3 3 3 3 0 0 0 0 -0.60905 -0.37357 -0.1468 0.18708 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
103 1.8875 2.7002 3.0374 3.7338 3 3 3 3 0 0 0 0 -0.60908 -0.37358 -0.1468 0.18709 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
104 1.8875 2.7002 3.0375 3.7338 3 3 3 3 0 0 0 0 -0.6091 -0.3736 -0.1468 0.1871 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
105 1.8876 2.7002 3.0375 3.7338 3 3 3 3 0 0 0 0 -0.60912 -0.37361 -0.1468 0.18712 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
